,d_truth,dissimulation|-|everyday|plain,dissimulation|-|geography|plain,dissimulation|-|history|plain,dissimulation|-|science|plain,simulation|counterfactual_world|everyday|plain,simulation|counterfactual_world|geography|plain,simulation|counterfactual_world|history|plain,simulation|counterfactual_world|science|plain,simulation|fictional_frame|everyday|plain,simulation|fictional_frame|geography|plain,simulation|fictional_frame|history|plain,simulation|fictional_frame|science|plain,simulation|persona|science|plain
d_truth,1.0,0.21391723,0.24930866,0.3026274,0.17284475,-0.1428706,-0.07489979,-0.23352389,-0.13288733,-0.062209588,-0.029586826,-0.039947003,-0.07082662,0.20813276
dissimulation|-|everyday|plain,0.21391723,0.9999998,0.65001273,0.53516614,0.5590534,0.23203482,0.28472334,0.11026274,0.23868582,0.25884247,0.28533372,0.2398429,0.17276391,0.1243279
dissimulation|-|geography|plain,0.24930866,0.65001273,1.0000001,0.5561859,0.61798674,0.070842735,0.37331966,0.03254795,0.18042006,0.11299624,0.34027126,0.19124283,0.10991024,0.23223737
dissimulation|-|history|plain,0.3026274,0.53516614,0.5561859,1.0,0.48282346,0.07935727,0.22274649,0.012122007,0.15070671,0.078133754,0.22188894,0.18291171,0.10208031,0.19217387
dissimulation|-|science|plain,0.17284475,0.5590534,0.61798674,0.48282346,1.0,0.1220515,0.30392498,0.09990315,0.24936353,0.13384728,0.28756204,0.21251771,0.17087673,0.4040536
simulation|counterfactual_world|everyday|plain,-0.1428706,0.23203482,0.070842735,0.07935727,0.1220515,0.9999999,0.70181406,0.754973,0.8298822,0.80141515,0.6290295,0.6278402,0.7204551,0.04458419
simulation|counterfactual_world|geography|plain,-0.07489979,0.28472334,0.37331966,0.22274649,0.30392498,0.70181406,1.0000001,0.66346014,0.76217777,0.56160766,0.82717216,0.61130434,0.62608296,0.13051598
simulation|counterfactual_world|history|plain,-0.23352389,0.11026274,0.03254795,0.012122007,0.09990315,0.754973,0.66346014,1.0000001,0.7071954,0.59668416,0.5762356,0.7446399,0.6108603,0.05427804
simulation|counterfactual_world|science|plain,-0.13288733,0.23868582,0.18042006,0.15070671,0.24936353,0.8298822,0.76217777,0.7071954,1.0,0.6722623,0.66256887,0.61635166,0.69843066,0.035448365
simulation|fictional_frame|everyday|plain,-0.062209588,0.25884247,0.11299624,0.078133754,0.13384728,0.80141515,0.56160766,0.59668416,0.6722623,1.0,0.69980085,0.64556444,0.7635235,0.14150663
simulation|fictional_frame|geography|plain,-0.029586826,0.28533372,0.34027126,0.22188894,0.28756204,0.6290295,0.82717216,0.5762356,0.66256887,0.69980085,1.0000001,0.70977014,0.7694376,0.20413029
simulation|fictional_frame|history|plain,-0.039947003,0.2398429,0.19124283,0.18291171,0.21251771,0.6278402,0.61130434,0.7446399,0.61635166,0.64556444,0.70977014,1.0,0.6743434,0.15853634
simulation|fictional_frame|science|plain,-0.07082662,0.17276391,0.10991024,0.10208031,0.17087673,0.7204551,0.62608296,0.6108603,0.69843066,0.7635235,0.7694376,0.6743434,1.0000005,0.20532003
simulation|persona|science|plain,0.20813276,0.1243279,0.23223737,0.19217387,0.4040536,0.04458419,0.13051598,0.05427804,0.035448365,0.14150663,0.20413029,0.15853634,0.20532003,1.0
