source_cell,dissimulation|-|everyday|plain,dissimulation|-|geography|plain,dissimulation|-|history|plain,dissimulation|-|science|plain,simulation|counterfactual_world|everyday|plain,simulation|counterfactual_world|geography|plain,simulation|counterfactual_world|history|plain,simulation|counterfactual_world|science|plain,simulation|fictional_frame|everyday|plain,simulation|fictional_frame|geography|plain,simulation|fictional_frame|history|plain,simulation|fictional_frame|science|plain,simulation|persona|science|plain
dissimulation|-|everyday|plain,0.9829545454545454,0.9763888888888889,0.9599358974358975,0.96875,0.8452088452088452,0.9125596184419714,0.7582417582417583,0.951417004048583,0.8392857142857142,0.9741379310344827,0.9620535714285714,0.9458333333333333,0.8484848484848485
dissimulation|-|geography|plain,0.9727272727272728,0.9638888888888888,0.8990384615384616,0.9807692307692308,0.7125307125307125,0.8664546899841017,0.6835164835164835,0.9210526315789473,0.8973214285714286,0.8879310344827587,0.9441964285714286,0.8875,0.9393939393939394
dissimulation|-|history|plain,0.9590909090909091,0.9569444444444445,0.8926282051282051,0.9831730769230769,0.683046683046683,0.918918918918919,0.6703296703296704,0.8663967611336032,0.8459821428571428,0.9199507389162561,0.8549107142857144,0.8583333333333334,0.9318181818181818
dissimulation|-|science|plain,0.9727272727272728,0.986111111111111,0.9503205128205128,0.9615384615384615,0.8402948402948404,0.9125596184419714,0.8923076923076924,0.951417004048583,0.8883928571428572,0.9347290640394088,0.9799107142857143,0.9395833333333333,0.8257575757575758
simulation|counterfactual_world|everyday|plain,0.8306818181818181,0.7833333333333333,0.8125,0.6634615384615384,0.9557739557739559,1.0,0.9582417582417582,0.9878542510121457,0.8571428571428571,0.9544334975369458,0.9107142857142857,0.96875,0.696969696969697
simulation|counterfactual_world|geography|plain,0.9238636363636363,0.7972222222222223,0.8814102564102564,0.8413461538461539,0.9606879606879607,1.0,0.9582417582417582,0.9858299595141701,0.9375,0.9926108374384236,0.9575892857142857,0.9645833333333333,0.7045454545454545
simulation|counterfactual_world|history|plain,0.7761363636363636,0.6361111111111111,0.6586538461538461,0.5228365384615384,0.9582309582309583,0.9984101748807632,0.9802197802197802,0.9858299595141701,0.859375,0.939655172413793,0.8125,0.9624999999999999,0.6893939393939393
simulation|counterfactual_world|science|plain,0.9125,0.9236111111111112,0.7996794871794872,0.8725961538461539,0.9361179361179361,1.0,0.9582417582417582,0.9797570850202428,0.8727678571428572,0.9729064039408868,0.9620535714285715,0.9416666666666667,0.8484848484848484
simulation|fictional_frame|everyday|plain,0.8568181818181818,0.8861111111111111,0.8894230769230769,0.7740384615384616,0.9631449631449631,1.0,0.9648351648351648,0.9817813765182186,0.9129464285714285,0.9975369458128078,0.9575892857142857,0.9645833333333333,0.7651515151515151
simulation|fictional_frame|geography|plain,0.8340909090909091,0.8916666666666666,0.8349358974358974,0.719951923076923,0.9582309582309583,1.0,0.9604395604395604,0.9838056680161944,0.9709821428571429,0.9938423645320197,0.9754464285714286,0.9583333333333334,0.6818181818181819
simulation|fictional_frame|history|plain,0.8806818181818181,0.8513888888888889,0.7371794871794872,0.890625,0.9410319410319411,0.9984101748807632,0.9384615384615386,0.9817813765182186,0.9196428571428572,0.9753694581280788,0.9508928571428572,0.9708333333333332,0.8636363636363636
simulation|fictional_frame|science|plain,0.7181818181818183,0.5666666666666667,0.6875,0.7127403846153846,0.9680589680589681,1.0,0.9450549450549451,0.9757085020242915,0.9151785714285714,0.9938423645320197,0.9196428571428572,0.9395833333333334,0.7803030303030303
simulation|persona|science|plain,0.6193181818181819,0.7819444444444444,0.7467948717948718,0.6622596153846154,0.5085995085995086,0.6995230524642289,0.5274725274725275,0.5303643724696356,0.7790178571428571,0.812807881773399,0.765625,0.7583333333333334,0.8106060606060607
