source_cell,target_cell,auroc,c_source,c_target,abs_dc,lie_rate_source,lie_rate_target,scenario_source,scenario_target,mode_source,mode_target,subtype_source,subtype_target,topic_source,topic_target,style_source,style_target,is_diag
simulation|counterfactual_world|everyday|plain,simulation|counterfactual_world|everyday|plain,0.9838383838383838,0.5806464632207261,0.5806464632207261,0.0,0.9393939393939394,0.9393939393939394,counterfactual,counterfactual,simulation,simulation,counterfactual_world,counterfactual_world,everyday,everyday,plain,plain,True
simulation|counterfactual_world|everyday|plain,simulation|counterfactual_world|geography|plain,0.9968203497615263,0.5806464632207261,0.7341052627212243,0.15345879950049823,0.9393939393939394,0.9166666666666666,counterfactual,counterfactual,simulation,simulation,counterfactual_world,counterfactual_world,everyday,geography,plain,plain,False
simulation|counterfactual_world|everyday|plain,simulation|counterfactual_world|history|plain,0.9868131868131867,0.5806464632207261,0.6622095787875175,0.08156311556679141,0.9393939393939394,0.8181818181818182,counterfactual,counterfactual,simulation,simulation,counterfactual_world,counterfactual_world,everyday,history,plain,plain,False
simulation|counterfactual_world|everyday|plain,simulation|counterfactual_world|science|plain,1.0,0.5806464632207261,0.6800015033951794,0.09935504017445329,0.9393939393939394,0.9428571428571428,counterfactual,counterfactual,simulation,simulation,counterfactual_world,counterfactual_world,everyday,science,plain,plain,False
simulation|counterfactual_world|everyday|plain,simulation|fictional_frame|everyday|plain,0.9924812030075187,0.5806464632207261,0.49511035756895794,0.08553610565176817,0.9393939393939394,0.24242424242424243,counterfactual,roleplay,simulation,simulation,counterfactual_world,fictional_frame,everyday,everyday,plain,plain,False
simulation|counterfactual_world|everyday|plain,simulation|fictional_frame|geography|plain,1.0,0.5806464632207261,0.7199358008747948,0.1392893376540687,0.9393939393939394,0.3194444444444444,counterfactual,roleplay,simulation,simulation,counterfactual_world,fictional_frame,everyday,geography,plain,plain,False
simulation|counterfactual_world|everyday|plain,simulation|fictional_frame|history|plain,1.0,0.5806464632207261,0.6529816685168451,0.07233520529611903,0.9393939393939394,0.19696969696969696,counterfactual,roleplay,simulation,simulation,counterfactual_world,fictional_frame,everyday,history,plain,plain,False
simulation|counterfactual_world|everyday|plain,simulation|fictional_frame|science|plain,1.0,0.5806464632207261,0.6200652765784636,0.03941881335773745,0.9393939393939394,0.22857142857142856,counterfactual,roleplay,simulation,simulation,counterfactual_world,fictional_frame,everyday,science,plain,plain,False
simulation|counterfactual_world|geography|plain,simulation|counterfactual_world|everyday|plain,0.9878787878787879,0.7341052627212243,0.5806464632207261,0.15345879950049823,0.9166666666666666,0.9393939393939394,counterfactual,counterfactual,simulation,simulation,counterfactual_world,counterfactual_world,geography,everyday,plain,plain,False
simulation|counterfactual_world|geography|plain,simulation|counterfactual_world|geography|plain,0.9936406995230526,0.7341052627212243,0.7341052627212243,0.0,0.9166666666666666,0.9166666666666666,counterfactual,counterfactual,simulation,simulation,counterfactual_world,counterfactual_world,geography,geography,plain,plain,True
simulation|counterfactual_world|geography|plain,simulation|counterfactual_world|history|plain,0.9890109890109889,0.7341052627212243,0.6622095787875175,0.07189568393370682,0.9166666666666666,0.8181818181818182,counterfactual,counterfactual,simulation,simulation,counterfactual_world,counterfactual_world,geography,history,plain,plain,False
simulation|counterfactual_world|geography|plain,simulation|counterfactual_world|science|plain,1.0,0.7341052627212243,0.6800015033951794,0.05410375932604494,0.9166666666666666,0.9428571428571428,counterfactual,counterfactual,simulation,simulation,counterfactual_world,counterfactual_world,geography,science,plain,plain,False
simulation|counterfactual_world|geography|plain,simulation|fictional_frame|everyday|plain,0.9949874686716791,0.7341052627212243,0.49511035756895794,0.2389949051522664,0.9166666666666666,0.24242424242424243,counterfactual,roleplay,simulation,simulation,counterfactual_world,fictional_frame,geography,everyday,plain,plain,False
simulation|counterfactual_world|geography|plain,simulation|fictional_frame|geography|plain,1.0,0.7341052627212243,0.7199358008747948,0.014169461846429532,0.9166666666666666,0.3194444444444444,counterfactual,roleplay,simulation,simulation,counterfactual_world,fictional_frame,geography,geography,plain,plain,False
simulation|counterfactual_world|geography|plain,simulation|fictional_frame|history|plain,1.0,0.7341052627212243,0.6529816685168451,0.0811235942043792,0.9166666666666666,0.19696969696969696,counterfactual,roleplay,simulation,simulation,counterfactual_world,fictional_frame,geography,history,plain,plain,False
simulation|counterfactual_world|geography|plain,simulation|fictional_frame|science|plain,1.0,0.7341052627212243,0.6200652765784636,0.11403998614276079,0.9166666666666666,0.22857142857142856,counterfactual,roleplay,simulation,simulation,counterfactual_world,fictional_frame,geography,science,plain,plain,False
simulation|counterfactual_world|history|plain,simulation|counterfactual_world|everyday|plain,0.993939393939394,0.6622095787875175,0.5806464632207261,0.08156311556679141,0.8181818181818182,0.9393939393939394,counterfactual,counterfactual,simulation,simulation,counterfactual_world,counterfactual_world,history,everyday,plain,plain,False
simulation|counterfactual_world|history|plain,simulation|counterfactual_world|geography|plain,0.9968203497615263,0.6622095787875175,0.7341052627212243,0.07189568393370682,0.8181818181818182,0.9166666666666666,counterfactual,counterfactual,simulation,simulation,counterfactual_world,counterfactual_world,history,geography,plain,plain,False
simulation|counterfactual_world|history|plain,simulation|counterfactual_world|history|plain,0.9802197802197802,0.6622095787875175,0.6622095787875175,0.0,0.8181818181818182,0.8181818181818182,counterfactual,counterfactual,simulation,simulation,counterfactual_world,counterfactual_world,history,history,plain,plain,True
simulation|counterfactual_world|history|plain,simulation|counterfactual_world|science|plain,1.0,0.6622095787875175,0.6800015033951794,0.01779192460766188,0.8181818181818182,0.9428571428571428,counterfactual,counterfactual,simulation,simulation,counterfactual_world,counterfactual_world,history,science,plain,plain,False
simulation|counterfactual_world|history|plain,simulation|fictional_frame|everyday|plain,0.9924812030075187,0.6622095787875175,0.49511035756895794,0.16709922121855958,0.8181818181818182,0.24242424242424243,counterfactual,roleplay,simulation,simulation,counterfactual_world,fictional_frame,history,everyday,plain,plain,False
simulation|counterfactual_world|history|plain,simulation|fictional_frame|geography|plain,1.0,0.6622095787875175,0.7199358008747948,0.05772622208727729,0.8181818181818182,0.3194444444444444,counterfactual,roleplay,simulation,simulation,counterfactual_world,fictional_frame,history,geography,plain,plain,False
simulation|counterfactual_world|history|plain,simulation|fictional_frame|history|plain,1.0,0.6622095787875175,0.6529816685168451,0.00922791027067238,0.8181818181818182,0.19696969696969696,counterfactual,roleplay,simulation,simulation,counterfactual_world,fictional_frame,history,history,plain,plain,False
simulation|counterfactual_world|history|plain,simulation|fictional_frame|science|plain,1.0,0.6622095787875175,0.6200652765784636,0.04214430220905396,0.8181818181818182,0.22857142857142856,counterfactual,roleplay,simulation,simulation,counterfactual_world,fictional_frame,history,science,plain,plain,False
simulation|counterfactual_world|science|plain,simulation|counterfactual_world|everyday|plain,0.997979797979798,0.6800015033951794,0.5806464632207261,0.09935504017445329,0.9428571428571428,0.9393939393939394,counterfactual,counterfactual,simulation,simulation,counterfactual_world,counterfactual_world,science,everyday,plain,plain,False
simulation|counterfactual_world|science|plain,simulation|counterfactual_world|geography|plain,0.9968203497615263,0.6800015033951794,0.7341052627212243,0.05410375932604494,0.9428571428571428,0.9166666666666666,counterfactual,counterfactual,simulation,simulation,counterfactual_world,counterfactual_world,science,geography,plain,plain,False
simulation|counterfactual_world|science|plain,simulation|counterfactual_world|history|plain,0.9978021978021978,0.6800015033951794,0.6622095787875175,0.01779192460766188,0.9428571428571428,0.8181818181818182,counterfactual,counterfactual,simulation,simulation,counterfactual_world,counterfactual_world,science,history,plain,plain,False
simulation|counterfactual_world|science|plain,simulation|counterfactual_world|science|plain,1.0,0.6800015033951794,0.6800015033951794,0.0,0.9428571428571428,0.9428571428571428,counterfactual,counterfactual,simulation,simulation,counterfactual_world,counterfactual_world,science,science,plain,plain,True
simulation|counterfactual_world|science|plain,simulation|fictional_frame|everyday|plain,0.9974937343358395,0.6800015033951794,0.49511035756895794,0.18489114582622146,0.9428571428571428,0.24242424242424243,counterfactual,roleplay,simulation,simulation,counterfactual_world,fictional_frame,science,everyday,plain,plain,False
