source_cell,dissimulation|-|everyday|formal,dissimulation|-|everyday|plain,dissimulation|-|geography|formal,dissimulation|-|geography|plain,dissimulation|-|history|formal,dissimulation|-|history|plain,dissimulation|-|science|formal,dissimulation|-|science|plain,simulation|counterfactual_world|everyday|plain,simulation|counterfactual_world|geography|plain,simulation|counterfactual_world|history|plain,simulation|counterfactual_world|science|plain,simulation|fictional_frame|everyday|plain,simulation|fictional_frame|geography|plain,simulation|fictional_frame|history|plain,simulation|fictional_frame|science|plain,simulation|persona|history|plain
dissimulation|-|everyday|formal,0.9066666666666667,0.8666666666666667,0.9479166666666666,1.0,0.696969696969697,0.6767676767676767,0.96,1.0,0.74,1.0,0.59375,0.8484848484848484,0.6133333333333333,0.8933333333333333,0.5900000000000001,0.6133333333333334,0.8131868131868132
dissimulation|-|everyday|plain,1.0,0.9333333333333333,0.8958333333333334,0.96875,0.6868686868686869,0.7878787878787878,0.9333333333333333,0.9523809523809523,0.96,1.0,0.7291666666666667,0.9494949494949494,0.9466666666666668,0.9600000000000001,0.73,0.9066666666666667,0.7252747252747253
dissimulation|-|geography|formal,1.0,0.9866666666666667,0.9583333333333334,0.9791666666666667,0.707070707070707,0.7070707070707071,1.0,0.9880952380952381,0.9,1.0,0.59375,0.8989898989898989,0.68,0.9333333333333333,0.64,0.7866666666666667,0.7912087912087913
dissimulation|-|geography|plain,0.9733333333333334,0.9866666666666667,0.9479166666666666,0.9895833333333333,0.6969696969696969,0.696969696969697,1.0,0.9880952380952381,0.8599999999999999,1.0,0.6354166666666667,0.8282828282828283,0.7066666666666666,0.8800000000000001,0.66,0.7466666666666667,0.7252747252747254
dissimulation|-|history|formal,1.0,0.9333333333333335,1.0,0.9270833333333334,0.6868686868686869,0.6969696969696969,0.9733333333333334,0.9285714285714286,0.9500000000000001,0.9191919191919191,0.7812500000000001,0.9393939393939393,0.9066666666666667,0.9066666666666667,0.6699999999999999,0.7733333333333333,0.5714285714285714
dissimulation|-|history|plain,1.0,0.8933333333333334,0.9375,0.9166666666666666,0.6868686868686869,0.7171717171717171,0.9066666666666667,0.9166666666666666,1.0,0.9494949494949495,0.8541666666666666,0.9898989898989898,1.0,0.8933333333333333,0.83,0.8666666666666667,0.8021978021978022
dissimulation|-|science|formal,0.9733333333333334,0.9733333333333334,0.9270833333333334,0.96875,0.6464646464646465,0.6565656565656566,0.9333333333333333,0.9166666666666666,0.9600000000000001,1.0,0.6979166666666666,0.9090909090909092,0.72,0.9600000000000001,0.61,0.7866666666666667,0.7472527472527473
dissimulation|-|science|plain,0.9466666666666667,0.9333333333333333,0.90625,0.9583333333333334,0.6565656565656566,0.6464646464646464,0.9866666666666667,0.9523809523809523,0.84,1.0,0.6666666666666667,0.9191919191919191,0.64,0.92,0.63,0.7733333333333334,0.7692307692307692
simulation|counterfactual_world|everyday|plain,0.9466666666666668,0.8933333333333333,0.9270833333333334,0.9583333333333334,0.696969696969697,0.7474747474747474,0.9466666666666668,0.8928571428571428,1.0,1.0,0.8854166666666667,1.0,1.0,0.9600000000000001,0.8600000000000001,0.96,0.7252747252747253
simulation|counterfactual_world|geography|plain,0.9866666666666667,0.9600000000000001,0.9166666666666666,0.96875,0.6666666666666666,0.7373737373737375,1.0,0.9523809523809523,1.0,1.0,0.8854166666666667,1.0,1.0,0.92,0.83,0.9466666666666667,0.7362637362637363
simulation|counterfactual_world|history|plain,0.9733333333333334,0.9066666666666667,0.8645833333333333,0.8229166666666667,0.6868686868686869,0.7373737373737375,1.0,0.9285714285714286,1.0,0.9090909090909091,0.875,1.0,1.0,0.8,0.87,0.9733333333333334,0.7472527472527473
simulation|counterfactual_world|science|plain,0.9333333333333333,0.9066666666666667,0.8854166666666666,0.8958333333333333,0.6767676767676768,0.6868686868686869,0.7333333333333334,0.8452380952380952,1.0,1.0,0.8854166666666667,0.9797979797979798,0.9333333333333333,0.9466666666666668,0.78,0.9733333333333334,0.6483516483516483
simulation|fictional_frame|everyday|plain,0.9066666666666667,0.8533333333333334,0.6875,0.8541666666666667,0.6363636363636362,0.7171717171717171,0.7466666666666667,0.8095238095238095,1.0,0.9696969696969697,0.8229166666666666,0.9797979797979798,1.0,0.9066666666666667,0.85,0.9466666666666668,0.7032967032967032
simulation|fictional_frame|geography|plain,0.9866666666666667,0.9466666666666668,0.9270833333333334,0.9583333333333334,0.7373737373737373,0.7272727272727273,1.0,0.9880952380952381,1.0,0.9898989898989898,0.8958333333333333,1.0,1.0,0.9333333333333333,0.89,0.9733333333333334,0.8241758241758241
simulation|fictional_frame|history|plain,0.9866666666666667,0.92,0.8854166666666666,0.8958333333333334,0.707070707070707,0.7272727272727273,1.0,0.8809523809523809,1.0,0.9696969696969697,0.875,1.0,1.0,0.88,0.8200000000000001,0.9733333333333334,0.7032967032967032
simulation|fictional_frame|science|plain,0.9066666666666667,0.9466666666666667,0.8020833333333334,0.9166666666666666,0.6060606060606061,0.6666666666666667,0.9333333333333333,0.8214285714285714,1.0,1.0,0.8333333333333333,0.9797979797979798,1.0,0.9466666666666668,0.78,0.9466666666666668,0.5824175824175825
simulation|persona|history|plain,0.8666666666666667,0.9200000000000002,0.9479166666666667,0.90625,0.6363636363636364,0.6262626262626263,0.9733333333333334,0.9761904761904763,1.0,0.9696969696969697,0.75,0.9797979797979797,1.0,0.88,0.75,0.9466666666666667,0.6923076923076923
