,d_truth,dissimulation|-|everyday|formal,dissimulation|-|everyday|plain,dissimulation|-|geography|formal,dissimulation|-|geography|plain,dissimulation|-|history|formal,dissimulation|-|history|plain,dissimulation|-|science|formal,dissimulation|-|science|plain,simulation|counterfactual_world|everyday|plain,simulation|counterfactual_world|geography|plain,simulation|counterfactual_world|history|plain,simulation|counterfactual_world|science|plain,simulation|fictional_frame|everyday|plain,simulation|fictional_frame|geography|plain,simulation|fictional_frame|history|plain,simulation|fictional_frame|science|plain,simulation|persona|history|plain,simulation|persona|science|plain
d_truth,1.0000001,-0.014866712,-0.051384162,0.0054906607,-0.040351722,0.021223534,0.07003006,0.098955944,0.014172677,0.0015193038,-0.16130266,0.05707719,-0.059658237,-0.016231727,0.09809135,0.08388412,0.002520238,0.025787914,-0.07958304
dissimulation|-|everyday|formal,-0.014866712,1.0,0.03163054,0.07044275,0.07468548,-0.012187747,-0.1141191,-0.019012256,-0.026042268,0.0742099,0.007572308,0.04945864,-0.055110786,-0.017752863,-0.015493646,-0.013264572,-0.018880341,-0.039818686,-0.051196806
dissimulation|-|everyday|plain,-0.051384162,0.03163054,1.0,0.15718192,0.06374242,0.055058684,-0.03151503,0.077522926,0.05772922,0.38158506,0.06381886,-0.05263108,0.044675224,0.41611922,0.04222879,0.043021366,0.022303736,-0.07259995,0.122665256
dissimulation|-|geography|formal,0.0054906607,0.07044275,0.15718192,1.0000001,-0.07233133,0.048927452,-0.08507034,-6.85174e-05,-0.04862828,0.01698669,0.044398244,0.07253846,0.030543998,-0.03724724,-0.018460792,-0.039065234,-0.019537566,0.002423967,-0.008632652
dissimulation|-|geography|plain,-0.040351722,0.07468548,0.06374242,-0.07233133,0.99999994,-0.010825039,0.004757125,-0.06843966,-0.036874115,0.1047968,0.26265115,-0.08472212,-0.010730775,-0.004680985,0.3639055,-0.0774411,0.045755833,-0.097835116,-0.04189364
dissimulation|-|history|formal,0.021223534,-0.012187747,0.055058684,0.048927452,-0.010825039,1.0,-0.05847673,-0.04656958,0.01704343,0.018391315,-0.012268735,-0.06717084,0.010029281,0.041113697,-0.011343913,-0.03705198,-0.15381166,0.010651361,-0.0022333201
dissimulation|-|history|plain,0.07003006,-0.1141191,-0.03151503,-0.08507034,0.004757125,-0.05847673,1.0,0.0035456177,0.031016812,0.03195877,-0.092032254,0.46717608,0.041720584,0.060555138,0.052785367,0.39602324,0.0023637067,0.4965903,0.14290887
dissimulation|-|science|formal,0.098955944,-0.019012256,0.077522926,-6.85174e-05,-0.06843966,-0.04656958,0.0035456177,1.0,0.038692564,-0.016395617,-0.009229582,-0.069425374,-0.0053907335,-0.01740188,-0.07078071,-0.08890433,-0.009353036,-0.09929217,-0.011002837
dissimulation|-|science|plain,0.014172677,-0.026042268,0.05772922,-0.04862828,-0.036874115,0.01704343,0.031016812,0.038692564,1.0,0.0062304083,-0.013413716,-0.040218692,0.5204048,0.04028683,0.035381824,0.054323364,0.51030976,-0.037386123,0.47134534
simulation|counterfactual_world|everyday|plain,0.0015193038,0.0742099,0.38158506,0.01698669,0.1047968,0.018391315,0.03195877,-0.016395617,0.0062304083,1.0,0.10888288,0.031721115,0.026479848,0.3375181,0.07871242,-0.049537126,0.096774824,-0.016687412,0.024950817
simulation|counterfactual_world|geography|plain,-0.16130266,0.007572308,0.06381886,0.044398244,0.26265115,-0.012268735,-0.092032254,-0.009229582,-0.013413716,0.10888288,1.0,-0.08654477,-0.044016548,0.014081154,0.27762035,-0.03827727,-0.018864974,-0.08263642,-0.07157756
