source_cell,target_cell,auroc,c_source,c_target,abs_dc,lie_rate_source,lie_rate_target,scenario_source,scenario_target,mode_source,mode_target,subtype_source,subtype_target,topic_source,topic_target,style_source,style_target,is_diag
dissimulation|-|everyday|formal,dissimulation|-|everyday|formal,0.7023809523809523,0.29835103526711465,0.29835103526711465,0.0,0.5,0.5,instructed_lying,instructed_lying,dissimulation,dissimulation,,,everyday,everyday,formal,formal,True
dissimulation|-|everyday|formal,dissimulation|-|everyday|plain,0.6875,0.29835103526711465,0.30317834075540306,0.004827305488288414,0.5,0.5,instructed_lying,instructed_lying,dissimulation,dissimulation,,,everyday,everyday,formal,plain,False
dissimulation|-|everyday|formal,dissimulation|-|geography|formal,0.6373626373626373,0.29835103526711465,0.25948356304849896,0.038867472218615695,0.5,0.35,instructed_lying,instructed_lying,dissimulation,dissimulation,,,everyday,geography,formal,formal,False
dissimulation|-|everyday|formal,dissimulation|-|geography|plain,0.595959595959596,0.29835103526711465,0.25509806498885157,0.04325297027826308,0.5,0.5,instructed_lying,instructed_lying,dissimulation,dissimulation,,,everyday,geography,formal,plain,False
dissimulation|-|everyday|formal,dissimulation|-|history|formal,0.5,0.29835103526711465,0.3231212885843383,0.024770253317223656,0.5,0.45,instructed_lying,instructed_lying,dissimulation,dissimulation,,,everyday,history,formal,formal,False
dissimulation|-|everyday|formal,dissimulation|-|history|plain,0.8452380952380952,0.29835103526711465,0.22275006011701548,0.07560097515009917,0.5,0.65,instructed_lying,instructed_lying,dissimulation,dissimulation,,,everyday,history,formal,plain,False
dissimulation|-|everyday|formal,dissimulation|-|science|formal,0.5824175824175823,0.29835103526711465,0.27799549006990026,0.020355545197214386,0.5,0.35,instructed_lying,instructed_lying,dissimulation,dissimulation,,,everyday,science,formal,formal,False
dissimulation|-|everyday|formal,dissimulation|-|science|plain,0.7142857142857143,0.29835103526711465,0.1955609519034624,0.10279008336365225,0.5,0.5,instructed_lying,instructed_lying,dissimulation,dissimulation,,,everyday,science,formal,plain,False
dissimulation|-|everyday|formal,simulation|counterfactual_world|everyday|plain,0.40625,0.29835103526711465,0.31971224753016775,0.021361212263053098,0.5,0.55,instructed_lying,counterfactual,dissimulation,simulation,,counterfactual_world,everyday,everyday,formal,plain,False
dissimulation|-|everyday|formal,simulation|counterfactual_world|geography|plain,0.6060606060606061,0.29835103526711465,0.27875708900392054,0.019593946263194106,0.5,0.5,instructed_lying,counterfactual,dissimulation,simulation,,counterfactual_world,everyday,geography,formal,plain,False
dissimulation|-|everyday|formal,simulation|counterfactual_world|history|plain,0.7802197802197802,0.29835103526711465,0.2845491354282086,0.013801899838906062,0.5,0.65,instructed_lying,counterfactual,dissimulation,simulation,,counterfactual_world,everyday,history,formal,plain,False
dissimulation|-|everyday|formal,simulation|counterfactual_world|science|plain,0.5,0.29835103526711465,0.30579356304728067,0.0074425277801660195,0.5,0.65,instructed_lying,counterfactual,dissimulation,simulation,,counterfactual_world,everyday,science,formal,plain,False
dissimulation|-|everyday|formal,simulation|fictional_frame|everyday|plain,0.6145833333333334,0.29835103526711465,0.28603888174089104,0.012312153526223613,0.5,0.65,instructed_lying,roleplay,dissimulation,simulation,,fictional_frame,everyday,everyday,formal,plain,False
dissimulation|-|everyday|formal,simulation|fictional_frame|geography|plain,0.7272727272727273,0.29835103526711465,0.2295438095249913,0.06880722574212336,0.5,0.55,instructed_lying,roleplay,dissimulation,simulation,,fictional_frame,everyday,geography,formal,plain,False
dissimulation|-|everyday|formal,simulation|fictional_frame|history|plain,0.5595238095238095,0.29835103526711465,0.3030038961971348,0.004652860930020153,0.5,0.55,instructed_lying,roleplay,dissimulation,simulation,,fictional_frame,everyday,history,formal,plain,False
dissimulation|-|everyday|formal,simulation|fictional_frame|science|plain,0.7261904761904762,0.29835103526711465,0.23618916111687818,0.06216187415023647,0.5,0.6,instructed_lying,roleplay,dissimulation,simulation,,fictional_frame,everyday,science,formal,plain,False
dissimulation|-|everyday|formal,simulation|persona|history|plain,0.7222222222222222,0.29835103526711465,0.21914207451045514,0.07920896075665951,0.5,0.25,instructed_lying,persona,dissimulation,simulation,,persona,everyday,history,formal,plain,False
dissimulation|-|everyday|formal,simulation|persona|science|plain,0.5490196078431372,0.29835103526711465,0.11069472506642337,0.1876563102006913,0.5,0.4,instructed_lying,persona,dissimulation,simulation,,persona,everyday,science,formal,plain,False
dissimulation|-|everyday|plain,dissimulation|-|everyday|formal,0.773809523809524,0.30317834075540306,0.29835103526711465,0.004827305488288414,0.5,0.5,instructed_lying,instructed_lying,dissimulation,dissimulation,,,everyday,everyday,plain,formal,False
dissimulation|-|everyday|plain,dissimulation|-|everyday|plain,0.765625,0.30317834075540306,0.30317834075540306,0.0,0.5,0.5,instructed_lying,instructed_lying,dissimulation,dissimulation,,,everyday,everyday,plain,plain,True
dissimulation|-|everyday|plain,dissimulation|-|geography|formal,0.4725274725274725,0.30317834075540306,0.25948356304849896,0.04369477770690411,0.5,0.35,instructed_lying,instructed_lying,dissimulation,dissimulation,,,everyday,geography,plain,formal,False
dissimulation|-|everyday|plain,dissimulation|-|geography|plain,0.6262626262626263,0.30317834075540306,0.25509806498885157,0.048080275766551495,0.5,0.5,instructed_lying,instructed_lying,dissimulation,dissimulation,,,everyday,geography,plain,plain,False
dissimulation|-|everyday|plain,dissimulation|-|history|formal,0.5238095238095238,0.30317834075540306,0.3231212885843383,0.019942947828935242,0.5,0.45,instructed_lying,instructed_lying,dissimulation,dissimulation,,,everyday,history,plain,formal,False
dissimulation|-|everyday|plain,dissimulation|-|history|plain,0.5833333333333335,0.30317834075540306,0.22275006011701548,0.08042828063838758,0.5,0.65,instructed_lying,instructed_lying,dissimulation,dissimulation,,,everyday,history,plain,plain,False
dissimulation|-|everyday|plain,dissimulation|-|science|formal,0.3846153846153846,0.30317834075540306,0.27799549006990026,0.0251828506855028,0.5,0.35,instructed_lying,instructed_lying,dissimulation,dissimulation,,,everyday,science,plain,formal,False
dissimulation|-|everyday|plain,dissimulation|-|science|plain,0.6153846153846154,0.30317834075540306,0.1955609519034624,0.10761738885194067,0.5,0.5,instructed_lying,instructed_lying,dissimulation,dissimulation,,,everyday,science,plain,plain,False
dissimulation|-|everyday|plain,simulation|counterfactual_world|everyday|plain,0.6145833333333334,0.30317834075540306,0.31971224753016775,0.016533906774764684,0.5,0.55,instructed_lying,counterfactual,dissimulation,simulation,,counterfactual_world,everyday,everyday,plain,plain,False
dissimulation|-|everyday|plain,simulation|counterfactual_world|geography|plain,0.31313131313131315,0.30317834075540306,0.27875708900392054,0.02442125175148252,0.5,0.5,instructed_lying,counterfactual,dissimulation,simulation,,counterfactual_world,everyday,geography,plain,plain,False
dissimulation|-|everyday|plain,simulation|counterfactual_world|history|plain,0.5494505494505494,0.30317834075540306,0.2845491354282086,0.018629205327194476,0.5,0.65,instructed_lying,counterfactual,dissimulation,simulation,,counterfactual_world,everyday,history,plain,plain,False
dissimulation|-|everyday|plain,simulation|counterfactual_world|science|plain,0.44999999999999996,0.30317834075540306,0.30579356304728067,0.002615222291877606,0.5,0.65,instructed_lying,counterfactual,dissimulation,simulation,,counterfactual_world,everyday,science,plain,plain,False
dissimulation|-|everyday|plain,simulation|fictional_frame|everyday|plain,0.6875,0.30317834075540306,0.28603888174089104,0.017139459014512026,0.5,0.65,instructed_lying,roleplay,dissimulation,simulation,,fictional_frame,everyday,everyday,plain,plain,False
dissimulation|-|everyday|plain,simulation|fictional_frame|geography|plain,0.4444444444444444,0.30317834075540306,0.2295438095249913,0.07363453123041178,0.5,0.55,instructed_lying,roleplay,dissimulation,simulation,,fictional_frame,everyday,geography,plain,plain,False
dissimulation|-|everyday|plain,simulation|fictional_frame|history|plain,0.5238095238095238,0.30317834075540306,0.3030038961971348,0.00017444455826826077,0.5,0.55,instructed_lying,roleplay,dissimulation,simulation,,fictional_frame,everyday,history,plain,plain,False
dissimulation|-|everyday|plain,simulation|fictional_frame|science|plain,0.738095238095238,0.30317834075540306,0.23618916111687818,0.06698917963852488,0.5,0.6,instructed_lying,roleplay,dissimulation,simulation,,fictional_frame,everyday,science,plain,plain,False
dissimulation|-|everyday|plain,simulation|persona|history|plain,0.4444444444444444,0.30317834075540306,0.21914207451045514,0.08403626624494792,0.5,0.25,instructed_lying,persona,dissimulation,simulation,,persona,everyday,history,plain,plain,False
dissimulation|-|everyday|plain,simulation|persona|science|plain,0.7450980392156863,0.30317834075540306,0.11069472506642337,0.1924836156889797,0.5,0.4,instructed_lying,persona,dissimulation,simulation,,persona,everyday,science,plain,plain,False
dissimulation|-|geography|formal,dissimulation|-|everyday|formal,0.8214285714285714,0.25948356304849896,0.29835103526711465,0.038867472218615695,0.35,0.5,instructed_lying,instructed_lying,dissimulation,dissimulation,,,geography,everyday,formal,formal,False
dissimulation|-|geography|formal,dissimulation|-|everyday|plain,0.578125,0.25948356304849896,0.30317834075540306,0.04369477770690411,0.35,0.5,instructed_lying,instructed_lying,dissimulation,dissimulation,,,geography,everyday,formal,plain,False
dissimulation|-|geography|formal,dissimulation|-|geography|formal,0.42857142857142855,0.25948356304849896,0.25948356304849896,0.0,0.35,0.35,instructed_lying,instructed_lying,dissimulation,dissimulation,,,geography,geography,formal,formal,True
dissimulation|-|geography|formal,dissimulation|-|geography|plain,0.5353535353535352,0.25948356304849896,0.25509806498885157,0.004385498059647386,0.35,0.5,instructed_lying,instructed_lying,dissimulation,dissimulation,,,geography,geography,formal,plain,False
dissimulation|-|geography|formal,dissimulation|-|history|formal,0.75,0.25948356304849896,0.3231212885843383,0.06363772553583935,0.35,0.45,instructed_lying,instructed_lying,dissimulation,dissimulation,,,geography,history,formal,formal,False
dissimulation|-|geography|formal,dissimulation|-|history|plain,0.5595238095238095,0.25948356304849896,0.22275006011701548,0.036733502931483475,0.35,0.65,instructed_lying,instructed_lying,dissimulation,dissimulation,,,geography,history,formal,plain,False
dissimulation|-|geography|formal,dissimulation|-|science|formal,0.5604395604395604,0.25948356304849896,0.27799549006990026,0.01851192702140131,0.35,0.35,instructed_lying,instructed_lying,dissimulation,dissimulation,,,geography,science,formal,formal,False
dissimulation|-|geography|formal,dissimulation|-|science|plain,0.6263736263736264,0.25948356304849896,0.1955609519034624,0.06392261114503656,0.35,0.5,instructed_lying,instructed_lying,dissimulation,dissimulation,,,geography,science,formal,plain,False
dissimulation|-|geography|formal,simulation|counterfactual_world|everyday|plain,0.5208333333333334,0.25948356304849896,0.31971224753016775,0.06022868448166879,0.35,0.55,instructed_lying,counterfactual,dissimulation,simulation,,counterfactual_world,geography,everyday,formal,plain,False
dissimulation|-|geography|formal,simulation|counterfactual_world|geography|plain,0.3434343434343434,0.25948356304849896,0.27875708900392054,0.01927352595542159,0.35,0.5,instructed_lying,counterfactual,dissimulation,simulation,,counterfactual_world,geography,geography,formal,plain,False
dissimulation|-|geography|formal,simulation|counterfactual_world|history|plain,0.7252747252747251,0.25948356304849896,0.2845491354282086,0.025065572379709633,0.35,0.65,instructed_lying,counterfactual,dissimulation,simulation,,counterfactual_world,geography,history,formal,plain,False
dissimulation|-|geography|formal,simulation|counterfactual_world|science|plain,0.7,0.25948356304849896,0.30579356304728067,0.046309999998781715,0.35,0.65,instructed_lying,counterfactual,dissimulation,simulation,,counterfactual_world,geography,science,formal,plain,False
dissimulation|-|geography|formal,simulation|fictional_frame|everyday|plain,0.6770833333333334,0.25948356304849896,0.28603888174089104,0.026555318692392083,0.35,0.65,instructed_lying,roleplay,dissimulation,simulation,,fictional_frame,geography,everyday,formal,plain,False
dissimulation|-|geography|formal,simulation|fictional_frame|geography|plain,0.5454545454545454,0.25948356304849896,0.2295438095249913,0.029939753523507667,0.35,0.55,instructed_lying,roleplay,dissimulation,simulation,,fictional_frame,geography,geography,formal,plain,False
dissimulation|-|geography|formal,simulation|fictional_frame|history|plain,0.47619047619047616,0.25948356304849896,0.3030038961971348,0.04352033314863585,0.35,0.55,instructed_lying,roleplay,dissimulation,simulation,,fictional_frame,geography,history,formal,plain,False
