source_cell,dissimulation|-|everyday|formal,dissimulation|-|everyday|plain,dissimulation|-|geography|formal,dissimulation|-|geography|plain,dissimulation|-|history|formal,dissimulation|-|history|plain,dissimulation|-|science|formal,dissimulation|-|science|plain,simulation|counterfactual_world|everyday|plain,simulation|counterfactual_world|geography|plain,simulation|counterfactual_world|history|plain,simulation|counterfactual_world|science|plain,simulation|fictional_frame|everyday|plain,simulation|fictional_frame|geography|plain,simulation|fictional_frame|history|plain,simulation|fictional_frame|science|plain,simulation|persona|history|plain
dissimulation|-|everyday|formal,0.4761904761904763,0.8125,0.6373626373626373,0.7142857142857142,0.6547619047619047,0.8333333333333334,0.7802197802197802,0.48,0.48809523809523814,0.4835164835164835,0.6153846153846153,0.5833333333333334,0.75,0.5466666666666667,0.6309523809523808,0.484375,0.6388888888888888
dissimulation|-|everyday|plain,0.6428571428571428,0.609375,0.48351648351648346,0.7472527472527473,0.6071428571428572,0.5952380952380952,0.5824175824175823,0.64,0.5238095238095238,0.5604395604395604,0.47252747252747257,0.71875,0.7395833333333333,0.32,0.5357142857142857,0.734375,0.38888888888888884
dissimulation|-|geography|formal,0.7380952380952381,0.75,0.34065934065934067,0.7472527472527473,0.6904761904761904,0.6309523809523809,0.5714285714285714,0.6266666666666667,0.5714285714285714,0.7032967032967032,0.6593406593406593,0.75,0.5104166666666666,0.42666666666666664,0.4880952380952381,0.5,0.4444444444444444
dissimulation|-|geography|plain,0.7380952380952381,0.4375,0.6043956043956044,0.8241758241758241,0.5952380952380953,0.33333333333333337,0.46153846153846156,0.6133333333333334,0.7023809523809523,0.8131868131868132,0.34065934065934067,0.5625,0.28125,0.76,0.5357142857142857,0.640625,0.5277777777777778
dissimulation|-|history|formal,0.5595238095238095,0.78125,0.4065934065934066,0.7032967032967032,0.17857142857142858,0.7857142857142858,0.6153846153846154,0.64,0.5,0.5824175824175823,0.7032967032967032,0.6458333333333334,0.4375,0.5333333333333333,0.5357142857142857,0.40625,0.9444444444444444
dissimulation|-|history|plain,0.5,0.53125,0.5384615384615384,0.5384615384615384,0.6428571428571429,0.38095238095238093,0.6043956043956044,0.5466666666666666,0.4285714285714286,0.5714285714285714,0.42857142857142855,0.5625,0.5208333333333333,0.5333333333333333,0.5,0.40625,0.11111111111111116
dissimulation|-|science|formal,0.5357142857142857,0.578125,0.5714285714285714,0.5384615384615384,0.7619047619047619,0.5833333333333333,0.6263736263736264,0.5066666666666667,0.4642857142857143,0.5934065934065934,0.5164835164835164,0.5104166666666667,0.3645833333333333,0.32,0.4166666666666667,0.578125,0.75
dissimulation|-|science|plain,0.6428571428571428,0.453125,0.39560439560439553,0.6153846153846154,0.6309523809523809,0.7738095238095238,0.6593406593406593,0.4933333333333334,0.5,0.5164835164835164,0.6813186813186813,0.65625,0.7083333333333334,0.48000000000000004,0.6547619047619047,0.296875,0.6388888888888888
simulation|counterfactual_world|everyday|plain,0.2976190476190476,0.484375,0.6043956043956045,0.5604395604395604,0.7976190476190477,0.4642857142857143,0.7472527472527473,0.5333333333333333,0.39285714285714285,0.6153846153846154,0.5164835164835164,0.625,0.4895833333333333,0.5466666666666666,0.30952380952380953,0.625,0.3888888888888889
simulation|counterfactual_world|geography|plain,0.5476190476190476,0.71875,0.43956043956043955,0.6373626373626373,0.5595238095238095,0.45238095238095233,0.5824175824175823,0.5466666666666666,0.7261904761904762,0.6813186813186813,0.48351648351648346,0.59375,0.8020833333333333,0.76,0.5238095238095237,0.609375,0.5
simulation|counterfactual_world|history|plain,0.5595238095238095,0.390625,0.6373626373626373,0.6593406593406593,0.45238095238095233,0.7857142857142858,0.4395604395604395,0.7066666666666667,0.3333333333333333,0.5604395604395604,0.48351648351648346,0.625,0.46875,0.7333333333333334,0.47619047619047616,0.46875,0.4444444444444444
simulation|counterfactual_world|science|plain,0.3928571428571428,0.453125,0.4835164835164835,0.6043956043956044,0.5714285714285714,0.5238095238095237,0.7252747252747253,0.4800000000000001,0.6904761904761905,0.32967032967032966,0.5054945054945055,0.7395833333333334,0.7708333333333334,0.52,0.7380952380952381,0.265625,0.4444444444444445
simulation|fictional_frame|everyday|plain,0.5,0.890625,0.8351648351648352,0.49450549450549447,0.8809523809523809,0.5833333333333334,0.5494505494505495,0.7999999999999999,0.5952380952380953,0.5054945054945055,0.6923076923076923,0.5520833333333333,0.5520833333333334,0.56,0.5238095238095237,0.28125,0.8333333333333334
simulation|fictional_frame|geography|plain,0.42857142857142855,0.609375,0.8571428571428571,0.5824175824175823,0.7619047619047619,0.8095238095238095,0.42857142857142855,0.5866666666666667,0.7380952380952381,0.4615384615384615,0.7582417582417582,0.8020833333333333,0.32291666666666663,0.5733333333333334,0.6547619047619047,0.515625,0.6666666666666667
simulation|fictional_frame|history|plain,0.7023809523809523,0.578125,0.37362637362637363,0.6263736263736264,0.5833333333333333,0.7976190476190476,0.5604395604395604,0.13333333333333333,0.5595238095238095,0.5164835164835164,0.32967032967032966,0.5520833333333333,0.7604166666666667,0.76,0.6785714285714286,0.390625,0.6666666666666667
