,d_truth,dissimulation|-|everyday|formal,dissimulation|-|everyday|plain,dissimulation|-|geography|formal,dissimulation|-|geography|plain,dissimulation|-|history|formal,dissimulation|-|history|plain,dissimulation|-|science|formal,dissimulation|-|science|plain,simulation|counterfactual_world|everyday|plain,simulation|counterfactual_world|geography|plain,simulation|counterfactual_world|history|plain,simulation|counterfactual_world|science|plain,simulation|fictional_frame|everyday|plain,simulation|fictional_frame|geography|plain,simulation|fictional_frame|history|plain,simulation|fictional_frame|science|plain,simulation|persona|everyday|plain,simulation|persona|geography|plain,simulation|persona|history|plain,simulation|persona|science|plain
d_truth,1.0,0.15558614,-0.05459025,-0.070145205,-0.073278986,-0.04073601,0.026279217,0.07762759,0.26106098,0.049703725,0.14722043,0.13902467,0.007867577,0.11001971,-0.12969051,0.03822327,-0.15178981,0.08990981,0.19615132,0.222101,-0.13399367
dissimulation|-|everyday|formal,0.15558614,1.0000001,0.118128195,0.22194502,0.22485825,0.24677454,0.2078225,0.25192076,0.299761,0.16633132,0.17648457,0.190691,0.10543352,0.25704545,0.07813074,0.06010351,0.15400021,0.103164606,0.17429116,0.2535901,-0.01769122
dissimulation|-|everyday|plain,-0.05459025,0.118128195,1.0000002,0.20058344,0.1051883,0.11094746,0.22624587,0.2097085,0.18962194,0.41667995,0.16451822,0.1360869,0.09353919,0.33244148,0.16122912,0.18466188,0.1334418,0.22149956,0.0502759,0.04682496,0.0526059
dissimulation|-|geography|formal,-0.070145205,0.22194502,0.20058344,1.0000002,0.23438539,0.1947242,0.15936361,0.10993348,0.22274517,0.20894217,0.16232076,0.1412126,0.13632733,0.13493027,0.124235176,0.108389705,0.24129519,0.14422649,-0.013435207,0.07106731,0.12429524
dissimulation|-|geography|plain,-0.073278986,0.22485825,0.1051883,0.23438539,1.0,0.10509541,0.14238568,0.118704006,0.19155553,0.16090813,0.50758284,0.1548118,0.15232578,0.19113214,0.40232253,0.057530127,0.18657616,0.022003703,0.20061299,-0.012573232,0.15267056
dissimulation|-|history|formal,-0.04073601,0.24677454,0.11094746,0.1947242,0.10509541,0.99999994,0.17309193,0.15667015,0.24383734,0.14962797,0.08999244,0.18404926,0.21158604,0.06844437,0.21696238,0.1675984,0.14009617,0.07197101,0.011196669,0.19605033,0.12412578
dissimulation|-|history|plain,0.026279217,0.2078225,0.22624587,0.15936361,0.14238568,0.17309193,0.99999976,0.21755074,0.20171526,0.17307493,0.19973348,0.396084,0.17213252,0.17798914,0.09375974,0.32763004,0.09702741,0.061781753,0.17420587,0.19709623,-0.01260294
dissimulation|-|science|formal,0.07762759,0.25192076,0.2097085,0.10993348,0.118704006,0.15667015,0.21755074,0.99999976,0.27485606,0.14559844,0.10687011,0.16397418,0.16630022,0.24139488,0.12249711,0.13737579,0.21091633,0.07836412,0.011787441,0.075759105,0.042696208
dissimulation|-|science|plain,0.26106098,0.299761,0.18962194,0.22274517,0.19155553,0.24383734,0.20171526,0.27485606,1.0000001,0.33499175,0.2314406,0.2968909,0.40389907,0.2164199,0.12478448,0.25941712,0.22578248,0.11138843,0.19599253,0.23309864,0.15226103
simulation|counterfactual_world|everyday|plain,0.049703725,0.16633132,0.41667995,0.20894217,0.16090813,0.14962797,0.17307493,0.14559844,0.33499175,0.9999999,0.13869129,0.20473436,0.32166567,0.35021415,0.09171237,0.1357278,0.09208531,0.23698159,0.107957564,0.11964699,0.08837265
simulation|counterfactual_world|geography|plain,0.14722043,0.17648457,0.16451822,0.16232076,0.50758284,0.08999244,0.19973348,0.10687011,0.2314406,0.13869129,0.9999999,0.17783962,0.15105078,0.19277552,0.35612544,0.10566886,0.11232951,0.12388571,0.24631214,0.06413609,0.069507055
simulation|counterfactual_world|history|plain,0.13902467,0.190691,0.1360869,0.1412126,0.1548118,0.18404926,0.396084,0.16397418,0.2968909,0.20473436,0.17783962,1.0000002,0.20439701,0.18662177,0.13381916,0.3395205,0.14385079,0.04018644,0.14614084,0.22811335,0.09869196
simulation|counterfactual_world|science|plain,0.007867577,0.10543352,0.09353919,0.13632733,0.15232578,0.21158604,0.17213252,0.16630022,0.40389907,0.32166567,0.15105078,0.20439701,0.99999994,0.18907009,0.23789501,0.16674416,0.2460738,0.0037088883,0.09931661,0.16384704,0.2587596
simulation|fictional_frame|everyday|plain,0.11001971,0.25704545,0.33244148,0.13493027,0.19113214,0.06844437,0.17798914,0.24139488,0.2164199,0.35021415,0.19277552,0.18662177,0.18907009,1.0000002,0.1734608,0.15522131,0.15226102,0.207547,-0.014945999,0.16445778,-0.0010350995
simulation|fictional_frame|geography|plain,-0.12969051,0.07813074,0.16122912,0.124235176,0.40232253,0.21696238,0.09375974,0.12249711,0.12478448,0.09171237,0.35612544,0.13381916,0.23789501,0.1734608,1.0,0.06457641,0.15531059,0.071931735,0.20238045,0.034286886,0.17545313
simulation|fictional_frame|history|plain,0.03822327,0.06010351,0.18466188,0.108389705,0.057530127,0.1675984,0.32763004,0.13737579,0.25941712,0.1357278,0.10566886,0.3395205,0.16674416,0.15522131,0.06457641,0.9999996,0.0906766,0.12035825,0.18277086,0.17641675,-0.0036905552
simulation|fictional_frame|science|plain,-0.15178981,0.15400021,0.1334418,0.24129519,0.18657616,0.14009617,0.09702741,0.21091633,0.22578248,0.09208531,0.11232951,0.14385079,0.2460738,0.15226102,0.15531059,0.0906766,1.0,0.038974203,-0.029375259,0.09674043,0.042909812
simulation|persona|everyday|plain,0.08990981,0.103164606,0.22149956,0.14422649,0.022003703,0.07197101,0.061781753,0.07836412,0.11138843,0.23698159,0.12388571,0.04018644,0.0037088883,0.207547,0.071931735,0.12035825,0.038974203,1.0000001,0.0028802645,0.027394742,0.031935208
simulation|persona|geography|plain,0.19615132,0.17429116,0.0502759,-0.013435207,0.20061299,0.011196669,0.17420587,0.011787441,0.19599253,0.107957564,0.24631214,0.14614084,0.09931661,-0.014945999,0.20238045,0.18277086,-0.029375259,0.0028802645,1.0000001,0.06527259,0.046071127
simulation|persona|history|plain,0.222101,0.2535901,0.04682496,0.07106731,-0.012573232,0.19605033,0.19709623,0.075759105,0.23309864,0.11964699,0.06413609,0.22811335,0.16384704,0.16445778,0.034286886,0.17641675,0.09674043,0.027394742,0.06527259,1.0000004,0.059808154
