source_cell,dissimulation|-|everyday|formal,dissimulation|-|everyday|plain,dissimulation|-|geography|formal,dissimulation|-|geography|plain,dissimulation|-|history|formal,dissimulation|-|history|plain,dissimulation|-|science|formal,dissimulation|-|science|plain,simulation|counterfactual_world|everyday|plain,simulation|counterfactual_world|geography|plain,simulation|counterfactual_world|history|plain,simulation|counterfactual_world|science|plain,simulation|fictional_frame|everyday|plain,simulation|fictional_frame|geography|plain,simulation|fictional_frame|history|plain,simulation|fictional_frame|science|plain,simulation|persona|everyday|plain,simulation|persona|geography|plain,simulation|persona|history|plain,simulation|persona|science|plain
dissimulation|-|everyday|formal,0.6520650813516897,0.7193181818181819,0.7671703296703296,0.7392473118279569,0.7061803444782169,0.7857142857142857,0.7379162191192266,0.7330232558139534,0.7317813765182186,0.7437070938215102,0.7590697674418605,0.8115942028985508,0.7330729166666666,0.7419354838709677,0.6802884615384616,0.4747596153846154,0.6875,0.6642156862745097,0.7876344086021505,0.5483870967741935
dissimulation|-|everyday|plain,0.6120150187734668,0.6272727272727272,0.6366758241758242,0.7096774193548387,0.590678824721378,0.6044973544973544,0.7261009667024705,0.6195348837209302,0.701417004048583,0.5850495804729214,0.7553488372093023,0.6811594202898551,0.6575520833333334,0.692652329749104,0.6009615384615384,0.6971153846153846,0.6741071428571428,0.6409313725490197,0.685483870967742,0.8198924731182795
dissimulation|-|geography|formal,0.734668335419274,0.7829545454545455,0.657967032967033,0.739247311827957,0.7234042553191489,0.701058201058201,0.757250268528464,0.7013953488372092,0.688259109311741,0.6826849733028223,0.7674418604651163,0.6251207729468599,0.6263020833333333,0.6863799283154122,0.65625,0.5733173076923077,0.6964285714285714,0.7708333333333333,0.4838709677419355,0.6801075268817205
dissimulation|-|geography|plain,0.7008760951188987,0.7204545454545455,0.7967032967032968,0.7159498207885304,0.6636271529888551,0.8902116402116402,0.7926960257787325,0.706046511627907,0.6487854251012146,0.6369183829138062,0.7367441860465116,0.714975845410628,0.765625,0.6908602150537635,0.7872596153846154,0.6826923076923077,0.578125,0.6568627450980392,0.7526881720430108,0.717741935483871
dissimulation|-|history|formal,0.7284105131414268,0.7056818181818182,0.6456043956043955,0.660394265232975,0.6767983789260386,0.6785714285714286,0.6562835660580022,0.7460465116279069,0.7348178137651821,0.6544622425629291,0.690232558139535,0.6502415458937199,0.67578125,0.6550179211469533,0.7295673076923077,0.6382211538461539,0.7321428571428571,0.6482843137254902,0.7526881720430108,0.7016129032258065
dissimulation|-|history|plain,0.6483103879849812,0.6704545454545454,0.7252747252747253,0.7051971326164875,0.7355623100303951,0.8068783068783069,0.6294307196562835,0.6213953488372094,0.6082995951417004,0.7017543859649124,0.6474418604651163,0.6946859903381644,0.7044270833333334,0.6872759856630823,0.43509615384615385,0.640625,0.7232142857142857,0.5735294117647058,0.6263440860215054,0.706989247311828
dissimulation|-|science|formal,0.6070087609511889,0.6602272727272728,0.7252747252747253,0.6935483870967741,0.6362715298885512,0.6005291005291005,0.6208378088077336,0.652093023255814,0.6336032388663968,0.7101449275362319,0.5869767441860465,0.6830917874396135,0.6953125,0.646057347670251,0.576923076923077,0.6454326923076923,0.6049107142857143,0.7193627450980392,0.6612903225806452,0.6397849462365591
dissimulation|-|science|plain,0.6758448060075094,0.7409090909090909,0.7458791208791209,0.71415770609319,0.8095238095238095,0.8253968253968254,0.8227712137486574,0.6530232558139535,0.7489878542510122,0.7665903890160183,0.7748837209302325,0.731400966183575,0.7395833333333333,0.7544802867383513,0.6766826923076923,0.5853365384615384,0.796875,0.7904411764705883,0.7768817204301075,0.6827956989247312
simulation|counterfactual_world|everyday|plain,0.6408010012515645,0.7159090909090909,0.7026098901098901,0.692652329749104,0.7234042553191489,0.7261904761904762,0.6981740064446831,0.721860465116279,0.6518218623481782,0.6781083142639207,0.7209302325581395,0.7961352657004831,0.7174479166666667,0.6657706093189965,0.6358173076923077,0.6045673076923077,0.6964285714285714,0.5759803921568628,0.7634408602150538,0.7258064516129032
simulation|counterfactual_world|geography|plain,0.5969962453066333,0.6352272727272728,0.7232142857142857,0.7222222222222222,0.6838905775075987,0.8293650793650794,0.7013963480128894,0.5572093023255815,0.7095141700404859,0.6842105263157895,0.7367441860465117,0.7410628019323672,0.7356770833333333,0.6245519713261649,0.7415865384615384,0.6959134615384615,0.546875,0.6286764705882353,0.5940860215053763,0.6935483870967742
simulation|counterfactual_world|history|plain,0.5669586983729662,0.7772727272727273,0.7664835164835165,0.7222222222222221,0.8216818642350557,0.7235449735449736,0.7851772287862513,0.586046511627907,0.7398785425101214,0.6674294431731502,0.6046511627906977,0.7053140096618358,0.765625,0.7670250896057348,0.7319711538461539,0.6117788461538461,0.9107142857142857,0.6237745098039216,0.6424731182795699,0.8010752688172043
simulation|counterfactual_world|science|plain,0.7471839799749687,0.6602272727272727,0.6785714285714285,0.7419354838709677,0.7467071935157041,0.5939153439153438,0.6713211600429646,0.666046511627907,0.6376518218623481,0.7131960335621663,0.756279069767442,0.61256038647343,0.6119791666666666,0.6102150537634408,0.686298076923077,0.6850961538461539,0.4933035714285714,0.5134803921568627,0.6827956989247312,0.6344086021505376
simulation|fictional_frame|everyday|plain,0.5544430538172717,0.7068181818181818,0.6476648351648352,0.6881720430107527,0.7568389057750761,0.623015873015873,0.6519871106337272,0.7013953488372092,0.6295546558704455,0.6857360793287567,0.7897674418604651,0.7439613526570047,0.7434895833333333,0.6451612903225807,0.7259615384615383,0.8677884615384616,0.6763392857142857,0.6029411764705882,0.8091397849462365,0.4946236559139785
simulation|fictional_frame|geography|plain,0.655819774718398,0.6477272727272727,0.7293956043956044,0.7912186379928315,0.6565349544072947,0.67989417989418,0.7142857142857143,0.72,0.5799595141700405,0.736842105263158,0.6753488372093024,0.6560386473429952,0.8033854166666666,0.6290322580645161,0.719951923076923,0.6081730769230769,0.6875,0.7058823529411764,0.6263440860215054,0.47043010752688175
simulation|fictional_frame|history|plain,0.5481852315394242,0.530681818181818,0.6332417582417583,0.589605734767025,0.6919959473150962,0.66005291005291,0.5993555316863587,0.5190697674418605,0.6892712550607287,0.6102212051868802,0.6948837209302325,0.5555555555555556,0.6432291666666666,0.6684587813620072,0.7391826923076923,0.5372596153846154,0.6138392857142857,0.7438725490196078,0.5887096774193549,0.564516129032258
simulation|fictional_frame|science|plain,0.6345431789737171,0.7670454545454546,0.6188186813186813,0.6980286738351255,0.7031408308004052,0.6547619047619048,0.7475832438238453,0.7051162790697674,0.5809716599190283,0.7406559877955758,0.6753488372093024,0.6541062801932367,0.6653645833333333,0.6810035842293908,0.673076923076923,0.7127403846153846,0.6160714285714286,0.7242647058823529,0.6774193548387096,0.8037634408602151
simulation|persona|everyday|plain,0.48560700876095114,0.5022727272727272,0.6813186813186813,0.7571684587813621,0.6382978723404256,0.5317460317460317,0.5241675617615467,0.5944186046511628,0.5637651821862348,0.49809305873379106,0.6679069767441861,0.6280193236714975,0.6328125,0.5268817204301075,0.6129807692307693,0.6466346153846153,0.6160714285714286,0.5808823529411764,0.48118279569892475,0.6236559139784945
simulation|persona|geography|plain,0.6220275344180225,0.5568181818181819,0.5879120879120879,0.5806451612903226,0.60790273556231,0.5568783068783069,0.5628356605800214,0.5674418604651164,0.451417004048583,0.5514874141876431,0.5311627906976745,0.6086956521739131,0.41406249999999994,0.5707885304659498,0.6586538461538461,0.548076923076923,0.5245535714285714,0.7267156862745098,0.4274193548387097,0.8118279569892473
simulation|persona|history|plain,0.5794743429286608,0.6988636363636364,0.5913461538461539,0.600358422939068,0.7163120567375887,0.6904761904761905,0.6487647690655209,0.5990697674418605,0.6710526315789475,0.643020594965675,0.6474418604651163,0.510144927536232,0.609375,0.5994623655913978,0.6658653846153846,0.4711538461538462,0.6607142857142857,0.49264705882352944,0.6182795698924731,0.760752688172043
simulation|persona|science|plain,0.6082603254067585,0.6988636363636364,0.679945054945055,0.6308243727598566,0.6575481256332321,0.585978835978836,0.6713211600429645,0.5953488372093024,0.7388663967611336,0.6781083142639206,0.6334883720930232,0.4946859903381643,0.640625,0.6317204301075269,0.7536057692307692,0.6911057692307693,0.5669642857142857,0.7022058823529412,0.8091397849462365,0.6451612903225806
