,d_truth,dissimulation|-|everyday|formal,dissimulation|-|everyday|plain,dissimulation|-|geography|formal,dissimulation|-|geography|plain,dissimulation|-|history|formal,dissimulation|-|history|plain,dissimulation|-|science|formal,dissimulation|-|science|plain,simulation|counterfactual_world|everyday|plain,simulation|counterfactual_world|geography|plain,simulation|counterfactual_world|history|plain,simulation|counterfactual_world|science|plain,simulation|fictional_frame|everyday|plain,simulation|fictional_frame|geography|plain,simulation|fictional_frame|history|plain,simulation|fictional_frame|science|plain
d_truth,1.0,0.14380682,0.17770264,0.21573615,0.15627813,0.09303787,0.10106441,0.06528414,0.09988719,-0.10108678,-0.25224966,-0.1816458,-0.2735859,-0.050043177,-0.21911229,0.005039767,-0.17450437
dissimulation|-|everyday|formal,0.14380682,1.0000001,0.9403931,0.8183795,0.84842986,0.8573622,0.8598158,0.8984546,0.87749803,0.5210948,0.4206428,0.4713307,0.41120505,0.50547343,0.3736146,0.5322205,0.41943383
dissimulation|-|everyday|plain,0.17770264,0.9403931,0.9999999,0.79546094,0.8828338,0.8306649,0.87484723,0.8682264,0.91349375,0.5526968,0.4288905,0.49172616,0.42058155,0.52548206,0.3812468,0.554462,0.43913442
dissimulation|-|geography|formal,0.21573615,0.8183795,0.79546094,1.0,0.8667008,0.78621,0.76753193,0.8210818,0.7770749,0.38583598,0.39486808,0.38440153,0.2796367,0.38000056,0.37654564,0.46898788,0.32724524
dissimulation|-|geography|plain,0.15627813,0.84842986,0.8828338,0.8667008,1.0,0.834071,0.87658167,0.85598415,0.89309007,0.4478058,0.4826136,0.47806022,0.37918726,0.4220336,0.4356796,0.5175114,0.3823699
dissimulation|-|history|formal,0.09303787,0.8573622,0.8306649,0.78621,0.834071,1.0,0.9412212,0.8603446,0.83635026,0.4930087,0.46463192,0.5541435,0.42826787,0.44017148,0.41004038,0.5527511,0.40478957
dissimulation|-|history|plain,0.10106441,0.8598158,0.87484723,0.76753193,0.87658167,0.9412212,1.0,0.8566501,0.88640517,0.51785535,0.46673718,0.5890776,0.44441578,0.46855396,0.41932473,0.60056764,0.42833516
dissimulation|-|science|formal,0.06528414,0.8984546,0.8682264,0.8210818,0.85598415,0.8603446,0.8566501,1.0000001,0.9061838,0.5145333,0.48400882,0.50805694,0.47736603,0.4701339,0.4285608,0.5266483,0.46320227
dissimulation|-|science|plain,0.09988719,0.87749803,0.91349375,0.7770749,0.89309007,0.83635026,0.88640517,0.9061838,1.0000001,0.50196767,0.46570194,0.5067815,0.4853919,0.47723976,0.41330174,0.5449772,0.4634769
simulation|counterfactual_world|everyday|plain,-0.10108678,0.5210948,0.5526968,0.38583598,0.4478058,0.4930087,0.51785535,0.5145333,0.50196767,1.0,0.7614718,0.85598886,0.8666387,0.88251185,0.70196086,0.80489844,0.85206705
simulation|counterfactual_world|geography|plain,-0.25224966,0.4206428,0.4288905,0.39486808,0.4826136,0.46463192,0.46673718,0.48400882,0.46570194,0.7614718,1.0000001,0.8185147,0.8423932,0.63734645,0.90746486,0.67798394,0.743835
simulation|counterfactual_world|history|plain,-0.1816458,0.4713307,0.49172616,0.38440153,0.47806022,0.5541435,0.5890776,0.50805694,0.5067815,0.85598886,0.8185147,1.0,0.83775413,0.7415196,0.75454926,0.85983765,0.796011
simulation|counterfactual_world|science|plain,-0.2735859,0.41120505,0.42058155,0.2796367,0.37918726,0.42826787,0.44441578,0.47736603,0.4853919,0.8666387,0.8423932,0.83775413,0.9999999,0.7457774,0.76828617,0.7170624,0.8803424
simulation|fictional_frame|everyday|plain,-0.050043177,0.50547343,0.52548206,0.38000056,0.4220336,0.44017148,0.46855396,0.4701339,0.47723976,0.88251185,0.63734645,0.7415196,0.7457774,1.0,0.67789155,0.83992845,0.8658228
simulation|fictional_frame|geography|plain,-0.21911229,0.3736146,0.3812468,0.37654564,0.4356796,0.41004038,0.41932473,0.4285608,0.41330174,0.70196086,0.90746486,0.75454926,0.76828617,0.67789155,0.9999998,0.70750666,0.7853917
simulation|fictional_frame|history|plain,0.005039767,0.5322205,0.554462,0.46898788,0.5175114,0.5527511,0.60056764,0.5266483,0.5449772,0.80489844,0.67798394,0.85983765,0.7170624,0.83992845,0.70750666,1.0,0.8272107
simulation|fictional_frame|science|plain,-0.17450437,0.41943383,0.43913442,0.32724524,0.3823699,0.40478957,0.42833516,0.46320227,0.4634769,0.85206705,0.743835,0.796011,0.8803424,0.8658228,0.7853917,0.8272107,0.9999998
