source_cell,dissimulation|-|everyday|formal,dissimulation|-|everyday|plain,dissimulation|-|geography|formal,dissimulation|-|geography|plain,dissimulation|-|history|formal,dissimulation|-|history|plain,dissimulation|-|science|formal,dissimulation|-|science|plain,simulation|counterfactual_world|everyday|plain,simulation|counterfactual_world|geography|plain,simulation|counterfactual_world|history|plain,simulation|counterfactual_world|science|plain,simulation|fictional_frame|everyday|plain,simulation|fictional_frame|geography|plain,simulation|fictional_frame|history|plain,simulation|fictional_frame|science|plain
dissimulation|-|everyday|formal,0.925925925925926,0.9759759759759761,0.9832775919732442,0.9992187499999999,0.9556277056277057,0.9528205128205128,0.986046511627907,0.9929266136162688,0.9757575757575758,1.0,0.9894957983193278,1.0,0.9508928571428571,1.0,0.9874999999999999,0.9833333333333334
dissimulation|-|everyday|plain,0.937937937937938,0.986986986986987,0.9857859531772576,0.9992187499999999,0.95995670995671,0.9579487179487179,0.9776744186046511,0.9964633068081343,0.9696969696969697,1.0,0.9873949579831932,1.0,0.9308035714285714,0.9938423645320197,0.9958333333333332,0.9979166666666666
dissimulation|-|geography|formal,0.955955955955956,0.986986986986987,0.9866220735785953,1.0,0.9437229437229439,0.9692307692307692,0.9925581395348837,1.0,0.9616161616161616,0.9506172839506173,0.9747899159663865,1.0,0.953125,0.9679802955665024,0.9874999999999999,0.9708333333333333
dissimulation|-|geography|plain,0.937937937937938,0.986986986986987,0.9866220735785953,1.0,0.9512987012987013,0.9784615384615385,0.9888372093023255,1.0,0.9696969696969697,1.0,0.9936974789915967,1.0,0.9709821428571429,0.9950738916256158,1.0,0.99375
dissimulation|-|history|formal,0.9419419419419419,0.97997997997998,0.9874581939799332,1.0,0.975108225108225,0.9866666666666666,0.9841860465116279,1.0,0.9494949494949495,0.9953703703703703,0.9789915966386554,0.9965397923875432,0.9464285714285714,0.9766009852216748,0.975,0.9791666666666666
dissimulation|-|history|plain,0.934934934934935,0.97997997997998,0.984113712374582,0.9984375,0.9415584415584416,0.9692307692307692,0.9953488372093023,0.9973474801061009,0.9777777777777779,1.0,0.9915966386554622,1.0,0.9508928571428571,0.9839901477832512,0.9916666666666666,0.9979166666666666
dissimulation|-|science|formal,0.9469469469469469,0.981981981981982,0.9874581939799332,1.0,0.9891774891774892,0.9835897435897436,0.9906976744186047,1.0,0.9696969696969697,0.992283950617284,0.957983193277311,1.0,0.9598214285714286,0.9913793103448276,0.9374999999999999,0.9875
dissimulation|-|science|plain,0.9289289289289289,0.980980980980981,0.9857859531772575,1.0,0.9642857142857144,0.9794871794871796,0.9944186046511627,1.0,0.9696969696969697,1.0,0.9831932773109243,1.0,0.9397321428571428,0.9827586206896551,0.9916666666666666,0.9958333333333333
simulation|counterfactual_world|everyday|plain,0.8848848848848849,0.972972972972973,0.9523411371237458,0.98046875,0.9253246753246753,0.9466666666666667,0.9711627906976743,0.9708222811671088,0.993939393939394,1.0,0.9915966386554622,1.0,0.9375,0.9815270935960592,0.9958333333333332,1.0
simulation|counterfactual_world|geography|plain,0.8798798798798798,0.965965965965966,0.9414715719063546,0.9921875,0.9556277056277057,0.9733333333333334,0.9637209302325581,0.97789566755084,0.9777777777777779,1.0,0.9915966386554622,1.0,0.9441964285714286,0.9741379310344829,0.9874999999999999,0.9958333333333333
simulation|counterfactual_world|history|plain,0.8908908908908909,0.9619619619619619,0.9423076923076923,0.9812500000000001,0.9274891774891775,0.9507692307692308,0.9627906976744185,0.9664014146772768,0.991919191919192,1.0,0.9936974789915967,1.0,0.9419642857142858,0.979064039408867,0.9916666666666666,1.0
simulation|counterfactual_world|science|plain,0.8878878878878879,0.954954954954955,0.9322742474916388,0.978125,0.9145021645021646,0.956923076923077,0.9618604651162791,0.9619805481874447,0.993939393939394,1.0,0.9873949579831933,1.0,0.9151785714285714,0.9766009852216748,0.9916666666666666,1.0
simulation|fictional_frame|everyday|plain,0.8998998998998999,0.981981981981982,0.9548494983277592,0.99609375,0.961038961038961,0.9702564102564103,0.9720930232558139,0.9743589743589743,0.9838383838383838,1.0,0.9915966386554622,1.0,0.9151785714285714,0.9605911330049262,1.0,1.0
simulation|fictional_frame|geography|plain,0.9159159159159159,0.9639639639639639,0.9565217391304348,0.9875,0.9523809523809524,0.9661538461538461,0.9562790697674418,0.9619805481874447,0.991919191919192,1.0,0.9810924369747899,1.0,0.9665178571428571,0.9310344827586207,1.0,1.0
simulation|fictional_frame|history|plain,0.8848848848848849,0.972972972972973,0.9581939799331104,0.96484375,0.9545454545454546,0.9425641025641025,0.9441860465116279,0.969053934571176,0.9959595959595959,1.0,0.9894957983193278,1.0,0.9508928571428571,0.9950738916256158,1.0,1.0
simulation|fictional_frame|science|plain,0.8988988988988988,0.977977977977978,0.9565217391304348,0.99609375,0.9577922077922078,0.9794871794871794,0.958139534883721,0.9628647214854111,0.991919191919192,1.0,0.9894957983193278,1.0,0.921875,0.9482758620689655,1.0,1.0
